district,lat,lon
Hoàn Kiếm,21.030653,105.847130
Ba Đình,21.033333,105.833333
Đống Đa,21.000000,105.833333
Hai Bà Trưng,21.000000,105.850000
Thanh Xuân,20.993776,105.811417
Hoàng Mai,20.995000,105.850000
Cầu Giấy,21.038412,105.780716
Tây Hồ,21.050000,105.820000
Long Biên,21.030000,105.880000
Hà Đông,20.970000,105.780000
Nam Từ Liêm,21.000000,105.780000
Bắc Từ Liêm,21.050000,105.770000
Thanh Trì,20.950000,105.850000
Ba Vì,21.200000,105.400000
Đan Phượng,21.050000,105.600000
Gia Lâm,21.040000,105.900000
Đông Anh,21.100000,105.850000
Sóc Sơn,21.350000,105.850000
Thanh Oai,20.900000,105.700000
Chương Mỹ,20.850000,105.700000
Hoài Đức,21.030000,105.660000
Mỹ Đức,20.770000,105.600000
Phúc Thọ,21.000000,105.550000
Thạch Thất,21.080000,105.500000
Quốc Oai,20.950000,105.550000
Thường Tín,20.920000,105.880000
Ứng Hòa,20.750000,105.900000
Mê Linh,21.200000,105.700000
