Ten_Huyen,date,temperature_2m,relative_humidity_2m,wind_speed_10m,cloud_cover,rain
Ba Dinh,2025-10-09 00:00:00+07:00,24.963001,94,1.835647,9,0
Ha Dong,2025-10-09 00:00:00+07:00,25.021502,94,1.835647,9,0
Son Tay,2025-10-09 00:00:00+07:00,24.602,97,3.0547013,45,0
Thach That,2025-10-09 00:00:00+07:00,24.575998,97,3.0547013,45,0
Dong Anh,2025-10-09 00:00:00+07:00,25.626,93,3.319036,34,0
Hai Ba Trung,2025-10-09 00:00:00+07:00,24.976,94,1.835647,9,0
Thanh Oai,2025-10-09 00:00:00+07:00,23.904,98,2.9024127,53,0
Dan Phuong,2025-10-09 00:00:00+07:00,25.2325,95,1.835647,36,0
Thanh Tri,2025-10-09 00:00:00+07:00,24.877998,95,2.2768397,0,0
Me Linh,2025-10-09 00:00:00+07:00,25.226,95,1.835647,36,0
Thuong Tin,2025-10-09 00:00:00+07:00,24.865,95,2.2768397,0,0
Ung Hoa,2025-10-09 00:00:00+07:00,23.904,98,3.0758414,48,0
Dong Da,2025-10-09 00:00:00+07:00,25.008501,94,1.835647,9,0
Hoan Kiem,2025-10-09 00:00:00+07:00,24.9825,94,1.835647,9,0
Ba Vi,2025-10-09 00:00:00+07:00,24.557,96,3.396233,46,0
Thanh Xuan,2025-10-09 00:00:00+07:00,24.956501,94,1.835647,9,0
My Duc,2025-10-09 00:00:00+07:00,23.8975,98,3.0758414,48,0
Tay Ho,2025-10-09 00:00:00+07:00,25.639,93,3.319036,34,0
Hoang Mai,2025-10-09 00:00:00+07:00,25.015001,94,1.835647,9,0
Phuc Tho,2025-10-09 00:00:00+07:00,25.252,95,1.835647,36,0
Quoc Oai,2025-10-09 00:00:00+07:00,23.678,98,2.5455842,52,0
Gia Lam,2025-10-09 00:00:00+07:00,25.5065,91,3.219938,14,0
Soc Son,2025-10-09 00:00:00+07:00,25.4155,93,2.8116899,40,0
Phu Xuyen,2025-10-09 00:00:00+07:00,24.588999,95,2.16,6,0
Hoai Duc,2025-10-09 00:00:00+07:00,25.021502,94,1.835647,9,0
Tu Liem,2025-10-09 00:00:00+07:00,25.008501,94,1.835647,9,0
Cau Giay,2025-10-09 00:00:00+07:00,25.021502,94,1.835647,9,0
Chuong My,2025-10-09 00:00:00+07:00,23.4075,98,3.219938,54,0
Long Bien,2025-10-09 00:00:00+07:00,25.008501,94,1.835647,9,0
Phu Xuyen,2025-10-09 01:00:00+07:00,24.439,97,1.484318,9,0
Ung Hoa,2025-10-09 01:00:00+07:00,23.554,99,3.2599385,55,0
Tu Liem,2025-10-09 01:00:00+07:00,24.8585,96,1.2979984,0,0
Thanh Oai,2025-10-09 01:00:00+07:00,23.604,99,3.0758414,59,0
Dong Da,2025-10-09 01:00:00+07:00,24.8585,96,1.2979984,0,0
Gia Lam,2025-10-09 01:00:00+07:00,25.2565,94,1.5273507,0,0
Son Tay,2025-10-09 01:00:00+07:00,24.252,99,2.5959969,62,0
Hoang Mai,2025-10-09 01:00:00+07:00,24.865,96,1.2979984,0,0
Ba Vi,2025-10-09 01:00:00+07:00,24.307,98,3.0758414,52,0
Thuong Tin,2025-10-09 01:00:00+07:00,24.765001,96,0.35999998,0,0
Dong Anh,2025-10-09 01:00:00+07:00,25.325998,95,1.9386592,0,0
Hoan Kiem,2025-10-09 01:00:00+07:00,24.832499,96,1.2979984,0,0
Ba Dinh,2025-10-09 01:00:00+07:00,24.813,96,1.2979984,0,0
My Duc,2025-10-09 01:00:00+07:00,23.5475,99,3.2599385,55,0
Phuc Tho,2025-10-09 01:00:00+07:00,25.202,96,0.8049845,29,0
Quoc Oai,2025-10-09 01:00:00+07:00,23.278,100,2.5959969,67,0
Hoai Duc,2025-10-09 01:00:00+07:00,24.8715,96,1.2979984,0,0
Cau Giay,2025-10-09 01:00:00+07:00,24.8715,96,1.2979984,0,0
Chuong My,2025-10-09 01:00:00+07:00,23.0575,100,3.4152596,63,0
Thanh Xuan,2025-10-09 01:00:00+07:00,24.8065,96,1.2979984,0,0
Long Bien,2025-10-09 01:00:00+07:00,24.8585,96,1.2979984,0,0
Soc Son,2025-10-09 01:00:00+07:00,25.1655,95,1.9386592,0,0
Thach That,2025-10-09 01:00:00+07:00,24.226,99,2.5959969,62,0
Ha Dong,2025-10-09 01:00:00+07:00,24.8715,96,1.2979984,0,0
Thanh Tri,2025-10-09 01:00:00+07:00,24.778,96,0.35999998,0,0
Me Linh,2025-10-09 01:00:00+07:00,25.175999,96,0.8049845,29,0
Dan Phuong,2025-10-09 01:00:00+07:00,25.182499,96,0.8049845,29,0
Tay Ho,2025-10-09 01:00:00+07:00,25.338999,95,1.9386592,0,0
Hai Ba Trung,2025-10-09 01:00:00+07:00,24.825998,96,1.2979984,0,0
Phuc Tho,2025-10-09 02:00:00+07:00,24.702,98,1.08,44,0
Ha Dong,2025-10-09 02:00:00+07:00,24.2215,99,1.835647,46,0
Ba Vi,2025-10-09 02:00:00+07:00,23.807,99,2.968636,54,0
Soc Son,2025-10-09 02:00:00+07:00,24.615501,97,1.8,0,0
Hoai Duc,2025-10-09 02:00:00+07:00,24.2215,99,1.835647,46,0
Hai Ba Trung,2025-10-09 02:00:00+07:00,24.175999,99,1.835647,46,0
Tay Ho,2025-10-09 02:00:00+07:00,24.939,96,1.609969,0,0
Ung Hoa,2025-10-09 02:00:00+07:00,23.104,99,3.9763298,62,0
Hoan Kiem,2025-10-09 02:00:00+07:00,24.182499,99,1.835647,46,0
My Duc,2025-10-09 02:00:00+07:00,23.0975,99,3.9763298,62,0
Tu Liem,2025-10-09 02:00:00+07:00,24.2085,99,1.835647,46,0
Long Bien,2025-10-09 02:00:00+07:00,24.2085,99,1.835647,46,0
Dong Anh,2025-10-09 02:00:00+07:00,24.925999,96,1.609969,0,0
Cau Giay,2025-10-09 02:00:00+07:00,24.2215,99,1.835647,46,0
Dan Phuong,2025-10-09 02:00:00+07:00,24.682499,98,1.08,44,0
Thanh Oai,2025-10-09 02:00:00+07:00,23.104,100,3.319036,63,0
Thanh Tri,2025-10-09 02:00:00+07:00,24.278,99,1.609969,44,0
Son Tay,2025-10-09 02:00:00+07:00,23.852,100,2.6208394,67,0
Thuong Tin,2025-10-09 02:00:00+07:00,24.265001,99,1.609969,44,0
Chuong My,2025-10-09 02:00:00+07:00,22.7075,99,3.7585104,58,0
Me Linh,2025-10-09 02:00:00+07:00,24.675999,98,1.08,44,0
Thanh Xuan,2025-10-09 02:00:00+07:00,24.1565,99,1.835647,46,0
Phu Xuyen,2025-10-09 02:00:00+07:00,23.689,100,2.4149535,61,0
Hoang Mai,2025-10-09 02:00:00+07:00,24.215,99,1.835647,46,0
Quoc Oai,2025-10-09 02:00:00+07:00,22.977999,100,2.7416782,64,0
Gia Lam,2025-10-09 02:00:00+07:00,25.0065,95,1.0182338,0,0
Ba Dinh,2025-10-09 02:00:00+07:00,24.163,99,1.835647,46,0
Dong Da,2025-10-09 02:00:00+07:00,24.2085,99,1.835647,46,0
Thach That,2025-10-09 02:00:00+07:00,23.825998,100,2.6208394,67,0
Chuong My,2025-10-09 03:00:00+07:00,22.7075,98,4.0249224,46,0
Thach That,2025-10-09 03:00:00+07:00,23.675999,100,2.5455842,69,0
Quoc Oai,2025-10-09 03:00:00+07:00,22.828,99,2.5455842,59,0
Hoai Duc,2025-10-09 03:00:00+07:00,23.8215,99,2.7416782,65,0
My Duc,2025-10-09 03:00:00+07:00,22.7975,99,3.671294,55,0
Cau Giay,2025-10-09 03:00:00+07:00,23.8215,99,2.7416782,65,0
Thanh Xuan,2025-10-09 03:00:00+07:00,23.7565,99,2.7416782,65,0
Dan Phuong,2025-10-09 03:00:00+07:00,24.2825,100,2.6208394,65,0
Tay Ho,2025-10-09 03:00:00+07:00,24.289,100,2.1897945,61,0
Hai Ba Trung,2025-10-09 03:00:00+07:00,23.776,99,2.7416782,65,0
Ha Dong,2025-10-09 03:00:00+07:00,23.8215,99,2.7416782,65,0
Dong Anh,2025-10-09 03:00:00+07:00,24.276,100,2.1897945,61,0
Thanh Oai,2025-10-09 03:00:00+07:00,23.004,99,3.6179552,55,0
Thuong Tin,2025-10-09 03:00:00+07:00,23.865,100,2.7416782,72,0
Ung Hoa,2025-10-09 03:00:00+07:00,22.804,99,3.671294,55,0
Phu Xuyen,2025-10-09 03:00:00+07:00,23.689,99,3.0547013,69,0
Ba Vi,2025-10-09 03:00:00+07:00,23.457,99,2.5455842,61,0
Gia Lam,2025-10-09 03:00:00+07:00,24.5065,98,2.1897945,33,0
Thanh Tri,2025-10-09 03:00:00+07:00,23.877998,100,2.7416782,72,0
Dong Da,2025-10-09 03:00:00+07:00,23.8085,99,2.7416782,65,0
Phuc Tho,2025-10-09 03:00:00+07:00,24.302,100,2.6208394,65,0
Hoang Mai,2025-10-09 03:00:00+07:00,23.815,99,2.7416782,65,0
Soc Son,2025-10-09 03:00:00+07:00,23.9655,99,2.2768397,53,0
Ba Dinh,2025-10-09 03:00:00+07:00,23.763,99,2.7416782,65,0
Me Linh,2025-10-09 03:00:00+07:00,24.276,100,2.6208394,65,0
Hoan Kiem,2025-10-09 03:00:00+07:00,23.7825,99,2.7416782,65,0
Son Tay,2025-10-09 03:00:00+07:00,23.702,100,2.5455842,69,0
Long Bien,2025-10-09 03:00:00+07:00,23.8085,99,2.7416782,65,0
Tu Liem,2025-10-09 03:00:00+07:00,23.8085,99,2.7416782,65,0
Gia Lam,2025-10-09 04:00:00+07:00,24.1565,99,2.1897945,63,0
Cau Giay,2025-10-09 04:00:00+07:00,23.6215,100,2.9024127,66,0
Ba Vi,2025-10-09 04:00:00+07:00,23.457,98,2.5455842,59,0
Ung Hoa,2025-10-09 04:00:00+07:00,22.654,99,3.7585104,54,0
Hoan Kiem,2025-10-09 04:00:00+07:00,23.582499,100,2.9024127,66,0
Ha Dong,2025-10-09 04:00:00+07:00,23.6215,100,2.9024127,66,0
Hai Ba Trung,2025-10-09 04:00:00+07:00,23.575998,100,2.9024127,66,0
Quoc Oai,2025-10-09 04:00:00+07:00,22.828,98,2.52,54,0
Thach That,2025-10-09 04:00:00+07:00,23.726,99,2.9024127,65,0
Hoang Mai,2025-10-09 04:00:00+07:00,23.615,100,2.9024127,66,0
Thuong Tin,2025-10-09 04:00:00+07:00,23.615,100,2.9024127,70,0
Dong Da,2025-10-09 04:00:00+07:00,23.6085,100,2.9024127,66,0
Son Tay,2025-10-09 04:00:00+07:00,23.752,99,2.9024127,65,0
Long Bien,2025-10-09 04:00:00+07:00,23.6085,100,2.9024127,66,0
Thanh Oai,2025-10-09 04:00:00+07:00,22.954,99,3.6,51,0
Chuong My,2025-10-09 04:00:00+07:00,22.6575,98,3.9763298,44,0
Dong Anh,2025-10-09 04:00:00+07:00,24.075998,100,2.16,72,0
Phuc Tho,2025-10-09 04:00:00+07:00,24.052,100,2.968636,68,0
Dan Phuong,2025-10-09 04:00:00+07:00,24.0325,100,2.968636,68,0
