Ten_Huyen,date,temperature_2m,relative_humidity_2m,wind_speed_10m,cloud_cover,rain
Ba Dinh,2025-10-09 00:00:00+07:00,24.963001,94.0,1.835647,9.0,0.0
Ba Dinh,2025-10-09 01:00:00+07:00,24.813,96.0,1.2979984,0.0,0.0
Ba Dinh,2025-10-09 02:00:00+07:00,24.163,99.0,1.835647,46.0,0.0
Ba Dinh,2025-10-09 03:00:00+07:00,23.763,99.0,2.7416782,65.0,0.0
Ba Dinh,2025-10-09 04:00:00+07:00,23.563,100.0,2.9024127,66.0,0.0
Ba Dinh,2025-10-09 05:00:00+07:00,23.513,100.0,2.968636,67.0,0.0
Ba Dinh,2025-10-09 06:00:00+07:00,23.463001,100.0,3.319036,75.0,0.0
Ba Dinh,2025-10-09 07:00:00+07:00,24.663,98.0,3.4152596,75.0,0.0
Ba Dinh,2025-10-09 08:00:00+07:00,26.613,92.0,6.1305785,52.0,0.0
Ba Dinh,2025-10-09 09:00:00+07:00,28.213001,84.0,5.6920996,63.0,0.0
Ba Dinh,2025-10-09 10:00:00+07:00,29.363,78.0,5.7599998,53.0,0.0
Ba Dinh,2025-10-09 11:00:00+07:00,30.263,71.0,5.4833565,70.0,0.0
Ba Dinh,2025-10-09 12:00:00+07:00,31.063,66.0,5.1165614,54.0,0.0
Ba Dinh,2025-10-09 13:00:00+07:00,31.913,61.0,5.315336,23.0,0.0
Ba Dinh,2025-10-09 14:00:00+07:00,31.863,60.0,6.489992,77.0,0.0
Ba Dinh,2025-10-09 15:00:00+07:00,31.463001,60.0,8.049845,46.0,0.0
Ba Dinh,2025-10-09 16:00:00+07:00,31.013,62.0,8.161764,13.0,0.0
Ba Dinh,2025-10-09 17:00:00+07:00,30.063,67.0,7.491114,0.0,0.0
Ba Dinh,2025-10-09 18:00:00+07:00,28.363,75.0,9.339208,16.0,0.0
Ba Dinh,2025-10-09 19:00:00+07:00,27.913,80.0,7.8954163,18.0,0.0
Ba Dinh,2025-10-09 20:00:00+07:00,27.213001,84.0,5.937272,0.0,0.0
Ba Dinh,2025-10-09 21:00:00+07:00,26.813,85.0,4.5536795,11.0,0.0
Ba Dinh,2025-10-09 22:00:00+07:00,26.313,87.0,3.5455887,24.0,0.0
Ba Dinh,2025-10-09 23:00:00+07:00,25.813,89.0,3.096837,10.0,0.0
Ba Dinh,2025-10-10 00:00:00+07:00,25.363,91.0,2.8116899,3.0,0.0
Ba Dinh,2025-10-10 01:00:00+07:00,25.113,94.0,2.5959969,0.0,0.0
Ba Dinh,2025-10-10 02:00:00+07:00,24.763,95.0,2.3051248,0.0,0.0
Ba Dinh,2025-10-10 03:00:00+07:00,24.513,96.0,1.8,18.0,0.0
Ba Dinh,2025-10-10 04:00:00+07:00,24.263,97.0,1.5273507,47.0,0.0
Ba Dinh,2025-10-10 05:00:00+07:00,24.063,99.0,1.08,66.0,0.0
Ba Dinh,2025-10-10 06:00:00+07:00,23.863,100.0,1.2979984,77.0,0.0
